REQ,Section,Claim,Status,File(s),Lines,Notes
REQ-0001,1,Input classify route execute artifacts provenance,PARTIAL,capability/registry.py routers/superpowers.py,registry:48-78 superpowers:46-51,Provenance not auto-recorded
REQ-0002,1,Every action is auditable,PARTIAL,exocortex/ledgers.py services/supabase_client.py,ledgers:80-130,Modules exist; not wired to superpowers
REQ-0003,1,Every action is reversible,PARTIAL,capability_registry.yaml,yaml:82 151 214 279 341,Undo strategies in YAML; no executor
REQ-0004,2,Five autonomy levels L0-L4,PARTIAL,exocortex/ledgers.py,95 288-320,L0-L3 in code; L4 not handled
REQ-0005,2,L0 capture log classify only,UNPROVEN,--,--,No middleware enforces L0
REQ-0006,2,L2 write ONLY to sandbox dirs,UNPROVEN,capability/artifact_store.py,13-14 28-29,No enforcement; path traversal possible
REQ-0007,2,L3 requires WRITE_LOCK,UNPROVEN,exocortex/ledgers.py routers/exocortex.py,ledgers:265-270 exocortex:265-267,Lock grant exists; check does not
REQ-0008,2,L4 requires SHIP_LOCK,UNPROVEN,same as REQ-0007,same,SHIP_LOCK grantable but never checked
REQ-0009,2,Default autonomy L1,PROVEN,exocortex/ledgers.py,95 293,Default L1 in record_intent and parse_flags
REQ-0010,2,Locks stored in provenance ledger,PROVEN,exocortex/ledgers.py,225-260,grant_lock writes to locks.jsonl + Supabase
REQ-0011,2,Lock checked before L3/L4,UNPROVEN,--,--,No middleware checks locks
REQ-0012,2,Autonomy parsed from input,PROVEN,exocortex/ledgers.py,288-320,parse_flags extracts L0-L3 patterns
REQ-0013,2,Missing lock -> request and wait,UNPROVEN,--,--,No 403 response on missing lock
REQ-0014,3.1,Capabilities defined by contract schema,PARTIAL,capability/registry.py capability_registry.yaml,registry:13-44,Code uses simpler dict; YAML has full schema
REQ-0015,3.2,10 capabilities registered,CONTRADICTED,capability/registry.py,13-44,Only 3 registered (tableau mood general)
REQ-0016,3.3,Capability chains compose,UNPROVEN,--,--,No chain resolver
REQ-0017,3.4,Router priority stack,PARTIAL,capability/registry.py,56-78,File ext + keyword; no explicit/chain/fallback
REQ-0018,3.4,Tiebreaker logic,UNPROVEN,--,--,No tiebreaker code
REQ-0019,3.1,Smoke tests per capability,PARTIAL,capability_registry.yaml,varies,Defined in YAML; no test runner
REQ-0020,3.1,Undo strategy per capability,PARTIAL,capability_registry.yaml,varies,Defined; no executor
REQ-0021,3.1,Default brain per capability,PROVEN,capability/registry.py,23 35 43,BYTE ARIA CJ assigned
REQ-0022,4.1,Every execution produces provenance entry,UNPROVEN,routers/superpowers.py,61-98 103-128,No provenance call in superpowers
REQ-0023,4.1,Provenance schema all fields,PARTIAL,exocortex/ledgers.py,80-130,Has core fields; missing spec-specific fields
REQ-0024,4.2,Dual storage Supabase + JSONL,PROVEN,exocortex/ledgers.py,40-75,_dual_write confirmed
REQ-0025,4.3,Five undo types implemented,UNPROVEN,--,--,No execution code for any undo type
